spectrum,resolution,dim,trace_P,T2_hat_exact,ordinary_trace_excess,ordinary_logdet,ordinary_kl,wick_mean,det2_constant,cf_kl,ordinary_kl_fp32,cf_kl_fp32,ordinary_fp32_abs_error,cf_fp32_abs_error,rn_sample_sd,cancellation_ratio,T2_flag
pixel_white_beta_0.02,256,65536,1310.72,26.21440000000001,668.7346938775511,-662.0023133804772,6.732380497073905,13.374693877551012,-6.642313380477276,6.732380497073736,6.7322998046875,6.732359886169434,8.069238640473486e-05,2.0610904302387212e-05,3.6942721629338,197.66218024017013,ok
pixel_white_beta_0.02,512,262144,5242.88,104.85760000000003,2674.9387755102043,-2648.0092535219087,26.92952198829562,53.49877551020405,-26.569253521909104,26.929521988294944,26.92919921875,26.929439544677734,0.00032276954561893945,8.244361720954885e-05,7.3885443258676,197.66218024017013,warn
pixel_white_beta_0.02,1024,1048576,20971.52,419.4304,10699.755102040817,-10592.037014087633,107.7180879531843,213.9951020408162,-106.2770140876364,107.71808795317979,107.716796875,107.71778106689453,0.0012910781842947472,0.00030688628525865624,14.777088651735198,197.66218024016678,fail
pixel_white_beta_0.02,2048,4194304,83886.08000000002,1677.7216000000003,42799.020408163255,-42368.14805635053,430.8723518127226,855.9804081632649,-425.1080563505458,430.8723518127191,430.86328125,430.8709716796875,0.009070562722627074,0.0013801330316027816,29.5541773034704,197.6621802401734,fail
hs_filtered_alpha_0.60,256,65536,62.75077456962842,0.45427402524031685,31.63556743436337,-31.49920809080264,0.13635934356073065,0.2601801495491642,-0.12382080598843358,0.1363593435607306,0.13636207580566406,0.136359304189682,2.7322449334121757e-06,3.937104858797724e-08,0.5510885722766286,463.002929440237,ok
hs_filtered_alpha_0.60,512,262144,109.68932777839638,0.46613127387228326,55.11077424917359,-54.97144953601071,0.1393247131628783,0.2661103599753902,-0.12678564681251805,0.13932471316287212,0.13932037353515625,0.13932469487190247,4.339627722060868e-06,1.8290969655554434e-08,0.5564444370090073,790.112689171605,ok
hs_filtered_alpha_0.60,1024,1048576,191.4142381866231,0.47511742238820615,95.977723050686,-95.83615145162806,0.14157159905794003,0.2706039573744569,-0.12903235831650972,0.1415715990579472,0.14156341552734375,0.14157158136367798,8.183530596284072e-06,1.7694269216494973e-08,0.5604681365454564,1354.8895101750718,ok
hs_filtered_alpha_0.60,2048,4194304,333.7056338115011,0.4819276559976287,167.1268261524902,-166.9835518799888,0.1432742725014009,0.2740092467396691,-0.1307349742382631,0.14327427250140598,0.1432647705078125,0.14327427744865417,9.501993588401092e-06,4.947248194442366e-09,0.5634979982375088,2331.9635284081596,ok
borderline_alpha_0.50,256,65536,382.90619896028016,6.56301272807013,196.09412458344707,-193.42295151181554,2.6711730716315287,4.641025103306994,-1.969852031675438,2.6711730716315563,2.6711578369140625,2.671173572540283,1.5234717466228176e-05,5.009087269414181e-07,2.975380945456636,145.82247785889405,ok
borderline_alpha_0.50,512,262144,766.9054665400349,7.342800087559482,388.48447783678694,-385.6178072513801,2.866670585406837,5.031744566769415,-2.1650739813625277,2.8666705854068875,2.86669921875,2.8666703701019287,2.8633343163164682e-05,2.1530495875055067e-07,3.040466878050223,270.0353117057943,ok
borderline_alpha_0.50,1024,1048576,1534.9051003293011,8.122589861027356,772.8746020579091,-769.8127090315111,3.0618930263980246,5.422051893258444,-2.3601588668605262,3.0618930263979176,3.06182861328125,3.0618932247161865,6.441311677463091e-05,1.9831826891802962e-07,3.104055259884958,503.83448990189567,ok
borderline_alpha_0.50,2048,4194304,3070.9049172238583,8.90238023799166,1541.2646118004561,-1538.0076337658543,3.2569780346018433,5.812153188527114,-2.555175153925539,3.256978034601575,3.2568359375,3.25697922706604,0.00014209710184331925,1.192464464949694e-06,3.166301718371028,945.4384441197938,ok
non_s2_alpha_0.40,256,65536,775.3695558400925,14.943767722137638,395.9868694045726,-391.662650017334,4.3242193872386,8.302091484526397,-3.9778720972877153,4.324219387238681,4.32421875,4.324219226837158,6.372385996655794e-07,1.60401523174869e-07,3.118528783617461,182.14837150639832,ok
non_s2_alpha_0.40,512,262144,1782.2087153125055,20.228813054102865,902.0632795430483,-896.408253723003,5.655025820045353,10.958921886795622,-5.303896066750253,5.655025820045369,5.65496826171875,5.655025959014893,5.7558326602702437e-05,1.3896952388847694e-07,3.5208577649316894,318.0306492838662,ok
non_s2_alpha_0.40,1024,1048576,4095.3202932046042,27.202488916859274,2062.1167241189432,-2054.711064668617,7.405659450326311,14.456577516641273,-7.050918066315004,7.405659450326269,7.40576171875,7.405658721923828,0.00010226842368865618,7.28402440586251e-07,3.9881006959982557,555.9029302388678,ok
non_s2_alpha_0.40,2048,4194304,9409.456718530819,36.404314906571095,4723.794036975296,-4714.082461650716,9.711575324579826,19.065677709886693,-9.354102385306382,9.711575324580311,9.7119140625,9.711576461791992,0.00033873792017402593,1.1372116812680133e-06,4.530148948879128,971.8172575708611,ok
