seed_index,model_seed,feature_seed,probe_seed,dimension,branch,trace_residue_coeff,batch_size,num_probes,num_grad_samples,series_order,num_threads,model_logit_jitter,variance_source,operator_semantics,objective_semantics,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
0,3658921,3755924,3852927,256,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,1.9937083721160889,2.096531391143799,-10.876861304044724,0.14130354215557955,94.84030723571777,0.17541396869912854,94.85369315743446,35.231383415201826
0,3658921,3755924,3852927,256,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03769731894135475,0.20952944457530975,0.0652884691953659,0.25482063199934185,11.522707134485245,0.4280930665372906,11.562259502708912,1.0751607540764334
0,3658921,3755924,3852927,256,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,5.311583995819092,4.638149738311768,-58.29701507091522,0.22900224986957946,94.84030723571777,0.17541396869912854,94.85369315743446,35.231383415201826
0,3658921,3755924,3852927,256,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.2705019414424896,1.3653013706207275,36.54329216480255,0.053630887065152705,94.84030723571777,0.17541396869912854,94.85369315743446,35.231383415201826
0,3658921,3755924,3852927,256,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.14196458458900452,3.7296056747436523,83.9634461402893,0.0342184413144524,94.84030723571777,0.17541396869912854,94.85369315743446,35.231383415201826
1,4658924,4755927,4852930,256,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.066815137863159,2.1157643795013428,-10.564896821975708,0.1000960823311986,94.8489944934845,0.12481069670319131,94.88731122016907,35.251035477535666
1,4658924,4755927,4852930,256,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03431909903883934,0.23291577398777008,-0.16126807406544685,0.1990235656933169,11.46551051735878,0.3279741745271371,11.553412014618516,1.068896884184105
1,4658924,4755927,4852930,256,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,5.510601997375488,4.648560047149658,-57.98939406871796,0.162495540655845,94.8489944934845,0.12481069670319131,94.88731122016907,35.251035477535666
1,4658924,4755927,4852930,256,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.27933692932128906,1.408012866973877,36.85960042476654,0.03771517754792817,94.8489944934845,0.12481069670319131,94.88731122016907,35.251035477535666
1,4658924,4755927,4852930,256,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.14816731214523315,3.7573351860046387,84.28409790992737,0.024789495086970006,94.8489944934845,0.12481069670319131,94.88731122016907,35.251035477535666
