dimension,branch,trace_residue_coeff,num_seeds,batch_size,num_probes,num_grad_samples,series_order,num_threads,variance_source,operator_semantics,objective_semantics,ci_method,bootstrap_samples,growth_exponent_fit,total_grad_variance_mean,total_grad_variance_ci_low,total_grad_variance_ci_high,mean_grad_norm_mean,mean_grad_norm_ci_low,mean_grad_norm_ci_high,mean_estimated_prior_mean,mean_estimated_prior_ci_low,mean_estimated_prior_ci_high,std_estimated_prior_mean,std_estimated_prior_ci_low,std_estimated_prior_ci_high,mean_trace_estimate_mean,mean_trace_estimate_ci_low,mean_trace_estimate_ci_high,std_trace_estimate_mean,std_trace_estimate_ci_low,std_trace_estimate_ci_high,trace_exact_mean,trace_exact_ci_low,trace_exact_ci_high,t2_exact_mean,t2_exact_ci_low,t2_exact_ci_high,grad_variance_dim_exponent_mean,grad_variance_dim_exponent_ci_low,grad_variance_dim_exponent_ci_high,t2_dim_exponent_mean,t2_dim_exponent_ci_low,t2_dim_exponent_ci_high
256,cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,2.0395236015319824,2.012863826751709,2.063526964187622,2.1156025886535645,2.1029723644256593,2.1293232440948486,-10.796708899736405,-11.27721064016223,-10.422957569360733,0.1212853069088374,0.10192018778640181,0.140650426031273,94.8718840122223,94.82359690666199,94.94579892158508,0.15024549999629808,0.12635278854724652,0.17487569832923158,94.8823023557663,94.82630406215786,94.94965953826905,35.24737768616059,35.20384302374534,35.297076203967386,0.9078947093292881,0.905180376284974,0.9107483543719053,0.9013587748436087,0.9009640614307617,0.9016463911975467
256,filtered_cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.036085803806781766,0.03457344844937325,0.03759815916419029,0.22836121320724487,0.21855174601078034,0.2372421145439148,-0.1869826857931912,-0.33586825178936125,-0.04457293981686235,0.24432236944185365,0.21378471423838255,0.27486002464532466,11.531786155700683,11.497981882095337,11.564448100328445,0.40756888657955503,0.3539232409193961,0.4589746746222052,11.553608494251966,11.542611390827224,11.56493264771998,1.0704172863426102,1.0659080642252658,1.0751608356295035,0.03707802650382086,0.0015068126953995745,0.07264924031224214,0.04661078859185264,0.04451377210034035,0.04870780508336493
256,trace_residue_minus_0_5,-0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,5.4353029251098635,5.36085262298584,5.500206565856933,4.650051593780518,4.639832401275635,4.6669511795043945,-58.23265087604523,-58.7130840319395,-57.87771074771881,0.19640092744958199,0.16510238997206117,0.2265932341265599,94.8718840122223,94.82359690666199,94.94543061256408,0.15024549999629808,0.12635278854724652,0.17411101398780765,94.8823023557663,94.82338353395463,94.9497344236076,35.24737768616059,35.20285822842851,35.29806099928421,0.9269361982897669,0.9241485670118987,0.9297238295676351,0.9013587748436087,0.9009640614307617,0.9016578431601555
256,trace_residue_plus_0_5,0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.27626870274543763,0.27294735312461854,0.27930139303207396,1.3969197511672973,1.3698164695501327,1.4239810466766358,36.63923313617706,36.08472089767456,37.04975759983063,0.04619214100842428,0.038718889725682805,0.053621527989886085,94.8718840122223,94.82222776412964,94.94543061256408,0.15024549999629808,0.1263799860047885,0.17411101398780765,94.8823023557663,94.82338353395463,94.9400662779808,35.24737768616059,35.20381840386242,35.29806099928421,0.8130559746514546,0.8106839824822425,0.8156657299965314,0.9013587748436087,0.9009559819332404,0.9016463911975467
256,trace_residue_plus_1_0,1.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.14553805887699128,0.14345262929797173,0.14760583341121675,3.7476357936859133,3.722262907028198,3.772409725189209,84.07517533302307,83.55582084655762,84.52247352600098,0.029054934472084716,0.024563604565831204,0.03351663303003069,94.8718840122223,94.82432431697845,94.94716806411743,0.15024549999629808,0.12425795203695973,0.17411101398780765,94.8823023557663,94.8285158097744,94.95265495181084,35.24737768616059,35.20384302374534,35.29808561916713,1.0995146215603935,1.0959440234234883,1.1030291666883967,0.9013587748436087,0.9009640614307617,0.9016463911975467
1024,cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,7.164668464660645,7.14229679107666,7.188843727111816,3.926449155807495,3.896101140975952,3.957086610794067,-39.33759677410126,-40.75081367492676,-38.09982590675354,0.23083561393830898,0.20647306437988622,0.2593577835705398,354.7693994522095,354.54266452789307,354.95366191864014,0.29536218264256353,0.2641466050960056,0.3318038843675912,354.74106456041335,354.53578824996947,354.9041338145733,123.22078814794784,123.08393945922603,123.33554903830937,0.9078947093292881,0.905180376284974,0.9107483543719053,0.9013587748436087,0.9009640614307617,0.9016463911975467
1024,filtered_cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.03871562480926514,0.034734702110290526,0.04268828332424164,0.2495843768119812,0.23459485173225403,0.2658644199371338,-0.3544989449903369,-0.46893499307334424,-0.23889383375644685,0.2627745993560402,0.21909658099901663,0.3029828736775092,20.335718071460725,20.277842259407045,20.39478305578232,0.45209066117621777,0.38542857708403855,0.5157675643416646,20.313537599984556,20.29713796870783,20.325560001283883,1.1842517583076877,1.1753182537137066,1.191398976084738,0.03707802650382086,0.0015068126953995745,0.07264924031224214,0.04661078859185264,0.04451377210034035,0.04870780508336493
1024,trace_residue_minus_0_5,-0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,19.631259155273437,19.570598983764647,19.70505485534668,8.845452690124512,8.811885643005372,8.884762191772461,-216.72229652404786,-218.317062664032,-215.27553853988647,0.37849434875610305,0.33851999407332306,0.4254774583210554,354.7693994522095,354.54266452789307,354.98550472259524,0.29536218264256353,0.2641466050960056,0.3318038843675912,354.74106456041335,354.53578824996947,354.90413834929467,123.22078814794784,123.09331878782466,123.33554903830937,0.9269361982897669,0.9241485670118987,0.9297238295676351,0.9013587748436087,0.9009640614307617,0.9016578431601555
1024,trace_residue_plus_0_5,0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.8542320013046265,0.8514244794845581,0.856899905204773,2.8595314025878906,2.829013204574585,2.8857302927970885,138.04710292816162,136.69224492788314,139.19654960632323,0.08325535779695195,0.07473972723843973,0.093540296258779,354.7693994522095,354.54266452789307,354.98550472259524,0.29536218264256353,0.26459508479597116,0.33180388436759123,354.74106456041335,354.5517055809498,354.9117797970772,123.22078814794784,123.08393945922603,123.33554903830937,0.8130559746514546,0.8106839824822425,0.8156657299965314,0.9013587748436087,0.9009559819332404,0.9016463911975467
1024,trace_residue_plus_1_0,1.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.6999500513076782,0.6969947576522827,0.7041502952575683,7.517548751831055,7.480905246734619,7.5514373779296875,315.43180255889894,314.08263778686523,316.49292411804197,0.06478829643748425,0.057982207630772366,0.0726672913086184,354.7693994522095,354.54266452789307,354.98550472259524,0.29536218264256353,0.26459508479597116,0.3322523640675567,354.74106456041335,354.54651106625795,354.9117797970772,123.22078814794784,123.09331878782464,123.33554903830937,1.0995146215603935,1.0959440234234883,1.1030291666883967,0.9013587748436087,0.9009640614307617,0.9016463911975467
