m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
128,16384,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,6.015710059562602,0.8769395685701802,7.189405239796341,3.5947026198981704,nan,8.85415362388071,0.15602007898863587,bounded
192,36864,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,115.19999999999999,0.7162694300518135,7.519253647995441,3.7596268239977206,nan,7.558416427412083,0.10878549837956367,bounded
192,36864,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,115.19999999999999,69.12,725.60797703156,362.80398851578,69.12,nan,10.497800593627893,sqrt(d)
192,36864,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,115.19999999999999,69.12,616.3114160527356,308.1557080263678,69.12,nan,8.916542477614808,sqrt(d)
192,36864,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,115.19999999999999,69.12,566.6658319283655,283.33291596418275,69.12,nan,8.19829039248214,sqrt(d)
192,36864,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,115.19999999999999,69.12,358.1673730940963,179.08368654704816,69.12,nan,5.181819633884495,sqrt(d)
192,36864,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,6.874847908949783,0.8885611714380688,7.284682514933395,3.6423412574666973,nan,8.85415362388071,0.10539181879243915,bounded
256,65536,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,153.6,0.7171984435797665,7.529006246760674,3.764503123380337,nan,7.558416427412083,0.08169494625391356,bounded
256,65536,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,153.6,92.16,967.4773027087466,483.7386513543733,92.16,nan,10.497800593627893,sqrt(d)
256,65536,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,153.6,92.16,821.7485547369806,410.8742773684903,92.16,nan,8.916542477614808,sqrt(d)
256,65536,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,153.6,92.16,755.5544425711539,377.77722128557696,92.16,nan,8.19829039248214,sqrt(d)
256,65536,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,153.6,92.16,477.55649745879504,238.77824872939752,92.16,nan,5.181819633884495,sqrt(d)
256,65536,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,7.5399139790173075,0.8954990279240269,7.341561077106645,3.6707805385533225,nan,8.85415362388071,0.07966103599291065,bounded
384,147456,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,230.39999999999998,0.7181298701298702,7.538784176951273,3.7693920884756364,nan,7.558416427412083,0.054534029057807236,bounded
384,147456,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,230.39999999999998,138.24,1451.21595406312,725.60797703156,138.24,nan,10.497800593627893,sqrt(d)
384,147456,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,230.39999999999998,138.24,1232.6228321054712,616.3114160527356,138.24,nan,8.916542477614808,sqrt(d)
384,147456,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,230.39999999999998,138.24,1133.331663856731,566.6658319283655,138.24,nan,8.19829039248214,sqrt(d)
384,147456,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,230.39999999999998,138.24,716.3347461881926,358.1673730940963,138.24,nan,5.181819633884495,sqrt(d)
384,147456,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,8.562832452180563,0.9037366846098764,7.409095778770811,3.7045478893854056,nan,8.85415362388071,0.053595889603376815,bounded
512,262144,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,307.2,0.7185964912280701,7.543682672192956,3.771841336096478,nan,7.558416427412083,0.04092709783090796,bounded
512,262144,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,307.2,184.32,1934.9546054174932,967.4773027087466,184.32,nan,10.497800593627893,sqrt(d)
512,262144,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,307.2,184.32,1643.4971094739612,821.7485547369806,184.32,nan,8.916542477614808,sqrt(d)
512,262144,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,307.2,184.32,1511.1088851423078,755.5544425711539,184.32,nan,8.19829039248214,sqrt(d)
512,262144,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,307.2,184.32,955.1129949175901,477.55649745879504,184.32,nan,5.181819633884495,sqrt(d)
