dimension,branch,trace_residue_coeff,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
256,cf_probe,0.0,0.13279032707214355,1.6763198375701904,12.51113510131836,0.024387791752815247,94.8739242553711,0.12727397680282593,94.90337878465652,35.259419468182756
256,filtered_cf_probe,0.0,0.01188579946756363,0.19871337711811066,0.5071574449539185,0.14330662786960602,11.482504844665527,0.35511383414268494,11.563614064827561,1.075774293779378
256,trace_residue_minus_0_5,-0.5,1.503242015838623,1.7225134372711182,-34.92582702636719,0.08797209709882736,94.8739242553711,0.12727397680282593,94.90337878465652,35.259419468182756
256,trace_residue_plus_0_5,0.5,0.2523391544818878,4.1457953453063965,59.948097229003906,0.03936754912137985,94.8739242553711,0.12727397680282593,94.90337878465652,35.259419468182756
256,trace_residue_plus_1_0,1.0,1.8618885278701782,6.789976119995117,107.38505554199219,0.10297641158103943,94.8739242553711,0.12727397680282593,94.90337878465652,35.259419468182756
1024,cf_probe,0.0,0.6767189502716064,3.0510716438293457,41.694091796875,0.04742032289505005,354.784423828125,0.21856334805488586,354.794371008873,123.23857371112445
1024,filtered_cf_probe,0.0,0.015657756477594376,0.19018495082855225,0.3184490501880646,0.17383937537670135,20.34454917907715,0.4375040531158447,20.315627053845674,1.1823051212213724
1024,trace_residue_minus_0_5,-0.5,6.487873554229736,3.6954002380371094,-135.69810485839844,0.15644243359565735,354.784423828125,0.21856334805488586,354.794371008873,123.23857371112445
1024,trace_residue_plus_0_5,0.5,0.8291174173355103,7.780508041381836,219.0863037109375,0.06251374632120132,354.784423828125,0.21856334805488586,354.794371008873,123.23857371112445
1024,trace_residue_plus_1_0,1.0,6.945069789886475,12.936077117919922,396.4784851074219,0.17161507904529572,354.784423828125,0.21856334805488586,354.794371008873,123.23857371112445
4096,cf_probe,0.0,3.1441478729248047,5.516097545623779,140.17178344726562,0.11573696881532669,1324.97412109375,0.4728645384311676,1324.8737852573395,429.68378063133673
4096,filtered_cf_probe,0.0,0.018344342708587646,0.2190191149711609,0.2830829620361328,0.19614432752132416,34.693138122558594,0.45450302958488464,34.56095816753805,1.2528916410815278
4096,trace_residue_minus_0_5,-0.5,26.415700912475586,7.640049934387207,-522.3153076171875,0.35185882449150085,1324.97412109375,0.4728645384311676,1324.8737852573395,429.68378063133673
4096,trace_residue_plus_0_5,0.5,2.5818521976470947,14.556400299072266,802.6588745117188,0.12159810215234756,1324.97412109375,0.4728645384311676,1324.8737852573395,429.68378063133673
4096,trace_residue_plus_1_0,1.0,24.728811264038086,24.551143646240234,1465.14599609375,0.3577398955821991,1324.97412109375,0.4728645384311676,1324.8737852573395,429.68378063133673
16384,cf_probe,0.0,13.63418960571289,10.09696102142334,481.6903076171875,0.281583309173584,4945.4970703125,1.0422688722610474,4945.461561560631,1496.8612747411628
16384,filtered_cf_probe,0.0,0.017382055521011353,0.1985425502061844,0.3884139060974121,0.2301817238330841,57.67875671386719,0.5122586488723755,57.71384013793431,1.2995115662947427
16384,trace_residue_minus_0_5,-0.5,103.37494659423828,15.475724220275879,-1991.0582275390625,0.8022909760475159,4945.4970703125,1.0422688722610474,4945.461561560631,1496.8612747411628
16384,trace_residue_plus_0_5,0.5,7.853150367736816,27.286945343017578,2954.43896484375,0.2409784197807312,4945.4970703125,1.0422688722610474,4945.461561560631,1496.8612747411628
16384,trace_residue_plus_1_0,1.0,86.03182983398438,46.555213928222656,5427.1875,0.761588454246521,4945.4970703125,1.0422688722610474,4945.461561560631,1496.8612747411628
