dimension,epoch,branch,total_loss,mse_loss,prior_kl_used,ordinary_kl_exact,cf_kl_exact,ordinary_cf_kl_abs_error,trace_residue_coeff,trace_residue_delta_same_params,trace_residue_expected_same_params,trace_residue_abs_error_same_params,trace_exact,t2_exact,logdet_exact,neg_logdet2_exact,trace_hutch,hs2_hutch,neg_logdet2_k5_hutch,cf_probe_penalty_k5,cf_probe_trace,cf_probe_hs2,sample_log_rn_identity_abs_error,grad_norm,initial_logit_checksum,final_mse,mse_ratio_to_cf_final
256,0,ordinary_branch,0.17713373812719327,0.01481321919709444,16.23205189300988,16.23205189300988,16.232051893009874,7.105427357601002e-15,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,94.90337878465652,35.259419468182756,-118.67295734292142,23.769578558264897,95.07038879394531,35.38921356201172,23.703208923339844,11.367919921875,95.07038879394531,35.38921356201172,0.0,0.01942097768187523,-57.52351379394531,0.06520046293735504,1.0
256,0,cf_branch,0.17713373812719319,0.01481321919709444,16.232051893009874,16.23205189300988,16.232051893009874,7.105427357601002e-15,0.0,0.0,0.0,0.0,94.90337878465652,35.259419468182756,-118.67295734292142,23.769578558264897,95.07038879394531,35.38921356201172,23.703208923339844,11.367919921875,95.07038879394531,35.38921356201172,0.0,0.01942097768187523,-57.52351379394531,0.06520046293735504,1.0
256,0,schatten_filtered_cf_branch,0.2005807103684267,0.1967543661594391,0.38263442089876176,0.38263442089876154,0.38263442089876176,2.220446049250313e-16,0.0,0.0,0.0,0.0,11.563614064827561,1.075774293779378,-12.197396913967756,0.6337828491401947,12.066682815551758,1.2574012279510498,0.757529616355896,-0.039491474628448486,12.066682815551758,1.2574012279510498,0.0,0.0024735359475016594,-57.52351379394531,0.16115808486938477,2.471732217978672
256,0,trace_residue_minus_0_5,-0.2973831557960894,0.01481321919709444,-31.219637499318388,16.23205189300988,16.232051893009874,7.105427357601002e-15,-0.5,-47.45168939232826,-47.45168939232826,0.0,94.90337878465652,35.259419468182756,-118.67295734292142,23.769578558264897,95.07038879394531,35.38921356201172,23.703208923339844,11.367919921875,95.07038879394531,35.38921356201172,0.0,0.006463619880378246,-57.52351379394531,0.008400782942771912,0.12884544931595698
256,0,trace_residue_plus_0_5,0.6516506320504758,0.01481321919709444,63.68374128533814,16.23205189300988,16.232051893009874,7.105427357601002e-15,0.5,47.45168939232826,47.45168939232826,0.0,94.90337878465652,35.259419468182756,-118.67295734292142,23.769578558264897,95.07038879394531,35.38921356201172,23.703208923339844,11.367919921875,95.07038879394531,35.38921356201172,0.0,0.04485611990094185,-57.52351379394531,0.14206519722938538,2.1788985971753356
256,0,trace_residue_plus_1_0,1.1261675259737585,0.01481321919709444,111.13543067766639,16.23205189300988,16.232051893009874,7.105427357601002e-15,1.0,94.90337878465652,94.90337878465652,0.0,94.90337878465652,35.259419468182756,-118.67295734292142,23.769578558264897,95.07038879394531,35.38921356201172,23.703208923339844,11.367919921875,95.07038879394531,35.38921356201172,0.0,0.0703311488032341,-57.52351379394531,0.1542987823486328,2.3665289385580577
256,1,ordinary_branch,0.17110428960326687,0.01676722802221775,15.433706158104911,15.433706158104911,15.433706158104918,7.105427357601002e-15,0.0,-7.105427357601002e-15,0.0,7.105427357601002e-15,93.17554914951324,33.989106057000654,-115.93854060189202,22.76299145237877,93.03028869628906,33.88066482543945,22.52651023864746,11.493617057800293,93.03028869628906,33.88066482543945,0.0,0.018029198050498962,-57.52351379394531,0.06520046293735504,1.0
256,1,cf_branch,0.1711042896099568,0.01676722802221775,15.433706158773905,15.433706158773909,15.433706158773905,3.552713678800501e-15,0.0,0.0,0.0,0.0,93.17554914951324,33.98910605753362,-115.93854060253044,22.762991453017193,93.03028869628906,33.88066482543945,22.52651023864746,11.493617057800293,93.03028869628906,33.88066482543945,0.0,0.018029198050498962,-57.52351379394531,0.06520046293735504,1.0
256,1,schatten_filtered_cf_branch,0.20208582133253475,0.198257178068161,0.38286432643737434,0.38286432643737456,0.38286432643737434,2.220446049250313e-16,0.0,0.0,0.0,0.0,11.73694052733481,1.0891485828527605,-12.375389892581666,0.6384493652468564,11.420309066772461,1.0090547800064087,0.5835449695587158,0.44430220127105713,11.420309066772461,1.0090547800064087,0.0,0.002333130454644561,-57.52351379394531,0.16115808486938477,2.471732217978672
256,1,trace_residue_minus_0_5,-0.2990113445628961,0.013645999133586884,-31.265734369648293,17.020207707988433,17.020207707988426,7.105427357601002e-15,-0.5,-48.28594207763672,-48.28594207763672,0.0,96.57188415527344,36.50018133095525,-121.33015131217311,24.758267156899677,96.43235778808594,36.39295959472656,24.483369827270508,12.4768648147583,96.43235778808594,36.39295959472656,0.0,0.005389837082475424,-57.52351379394531,0.008400782942771912,0.12884544931595698
