epoch,resolution,baseline,seed,train_mse,val_relative_l2,grad_norm,t2_exact,t2_discrete,t2_norm,t2_continuum,high_frequency_energy_ratio,noise_amplitude_summary
1,64,ordinary_noise,66026,0.003592193854274228,10.206993103027344,0.06527224893216044,230.57386201137524,230.57386201137524,0.002345518615838371,0.002345518615838371,0.43174566328525543,"{""sigma"":0.04843055456876755,""sigma2"":0.002345518615838371,""t2"":230.57386201137524}"
2,64,ordinary_noise,66026,0.002488025769707747,9.631922721862793,0.021739936317317188,216.57826737128198,216.57826737128198,0.002203148064893412,0.002203148064893412,0.45419764518737793,"{""sigma"":0.04693770408630371,""sigma2"":0.002203148064893412,""t2"":216.57826737128198}"
3,64,ordinary_noise,66026,0.002231384802144021,9.333169221878052,0.008703109546331689,203.7303524250965,203.7303524250965,0.002072452315522222,0.002072452315522222,0.4581228420138359,"{""sigma"":0.045524194836616516,""sigma2"":0.002072452315522222,""t2"":203.7303524250965}"
4,64,ordinary_noise,66026,0.002070460730465129,8.984119892120361,0.0068848384253215045,191.98736981177126,191.98736981177126,0.001952996519081332,0.001952996519081332,0.4649958238005638,"{""sigma"":0.04419272020459175,""sigma2"":0.001952996519081332,""t2"":191.98736981177126}"
5,64,ordinary_noise,66026,0.0019441640615696087,8.742114305496216,0.007606071332702413,181.25655713484412,181.25655713484412,0.0018438370476770438,0.0018438370476770438,0.4605715870857239,"{""sigma"":0.0429399237036705,""sigma2"":0.0018438370476770438,""t2"":181.25655713484412}"
6,64,ordinary_noise,66026,0.0018443028457113542,8.47107458114624,0.007454075108398683,171.38070949548273,171.38070949548273,0.0017433747303821079,0.0017433747303821079,0.4665753245353699,"{""sigma"":0.04175373911857605,""sigma2"":0.0017433747303821079,""t2"":171.38070949548273}"
7,64,ordinary_noise,66026,0.0017323451465927064,8.2747323513031,0.004979675795766525,162.30741911195219,162.30741911195219,0.0016510764476720396,0.0016510764476720396,0.472131185233593,"{""sigma"":0.040633440017700195,""sigma2"":0.0016510764476720396,""t2"":162.30741911195219}"
8,64,ordinary_noise,66026,0.001643253373913467,8.018142819404602,0.004974150579073466,153.95981519808993,153.95981519808993,0.0015661602294727572,0.0015661602294727572,0.46741873025894165,"{""sigma"":0.03957474231719971,""sigma2"":0.0015661602294727572,""t2"":153.95981519808993}"
9,64,ordinary_noise,66026,0.001555232382088434,7.8459755182266235,0.005157588588190265,146.25965055529377,146.25965055529377,0.0014878301041187925,0.0014878301041187925,0.4657296985387802,"{""sigma"":0.03857240080833435,""sigma2"":0.0014878301041187925,""t2"":146.25965055529377}"
10,64,ordinary_noise,66026,0.0014731604533153586,7.663169741630554,0.004573469457682222,139.14026343843398,139.14026343843398,0.00141540795327183,0.00141540795327183,0.46247293055057526,"{""sigma"":0.03762190788984299,""sigma2"":0.00141540795327183,""t2"":139.14026343843398}"
11,64,ordinary_noise,66026,0.0014131318530417047,7.482588768005371,0.005963496412732638,132.5422214219666,132.5422214219666,0.0013482891990353046,0.0013482891990353046,0.46616027504205704,"{""sigma"":0.03671905770897865,""sigma2"":0.0013482891990353046,""t2"":132.5422214219666}"
12,64,ordinary_noise,66026,0.0013513091325876303,7.294481635093689,0.006609585630940273,126.40122827443838,126.40122827443838,0.0012858197863203774,0.0012858197863203774,0.4671030268073082,"{""sigma"":0.03585832938551903,""sigma2"":0.0012858197863203774,""t2"":126.40122827443838}"
13,64,ordinary_noise,66026,0.001284607671550475,7.118543863296509,0.0038411782879848033,120.6796293075513,120.6796293075513,0.0012276166718297454,0.0012276166718297454,0.460274338722229,"{""sigma"":0.035037361085414886,""sigma2"":0.0012276166718297454,""t2"":120.6796293075513}"
14,64,ordinary_noise,66026,0.0012234787282068282,7.000769376754761,0.005262812512228265,115.35749422435538,115.35749422435538,0.0011734771140986672,0.0011734771140986672,0.4679093733429909,"{""sigma"":0.03425605222582817,""sigma2"":0.0011734771140986672,""t2"":115.35749422435538}"
15,64,ordinary_noise,66026,0.0011730140395229682,6.826447367668152,0.004041825042804703,110.38635622322909,110.38635622322909,0.0011229080833254912,0.0011229080833254912,0.4684719890356064,"{""sigma"":0.03350982069969177,""sigma2"":0.0011229080833254912,""t2"":110.38635622322909}"
16,64,ordinary_noise,66026,0.0011186091069248505,6.671877384185791,0.005014378577470779,105.74179197246985,105.74179197246985,0.0010756611325324489,0.0010756611325324489,0.4613463953137398,"{""sigma"":0.03279727324843407,""sigma2"":0.0010756611325324489,""t2"":105.74179197246985}"
17,64,ordinary_noise,66026,0.0010765423576231115,6.55557918548584,0.003993341044406407,101.37671356787905,101.37671356787905,0.0010312572587878321,0.0010312572587878321,0.45354674756526947,"{""sigma"":0.03211319446563721,""sigma2"":0.0010312572587878321,""t2"":101.37671356787905}"
18,64,ordinary_noise,66026,0.001030860912578646,6.366171956062317,0.004449726417078637,97.289173184015,97.289173184015,0.000989676647786611,0.000989676647786611,0.4601694270968437,"{""sigma"":0.031459126621484756,""sigma2"":0.000989676647786611,""t2"":97.289173184015}"
